pt1_cam1_X,pt1_cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.441064,404.890428
911.654852,404.175744
911.654852,403.937516
911.654852,403.937516
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
911.654852,403.699287
912.510003,403.699287
913.365153,404.175744
914.647879,404.413972
916.144392,404.175744
916.999543,404.175744
917.427118,405.843341
916.571968,408.463851
916.785755,413.943099
916.358180,418.945891
915.503029,433.239581
913.792728,446.342131
906.951524,455.633030
901.606833,457.300627
899.896532,458.015312
896.689718,458.253540
893.055328,460.397594
890.489876,463.971016
885.145186,472.547231
882.152159,478.026479
878.517769,482.314586
878.303981,486.364465
878.731557,490.652572
877.235043,496.846505
875.097167,501.611068
874.455804,502.087525
873.600653,503.755122
873.173078,503.755122
872.959291,503.993350
872.959291,503.993350
871.890352,503.755122
871.248990,503.278666
869.752476,502.802209
868.469750,502.325753
867.400812,502.563981
866.331874,503.755122
861.200971,506.613860
856.283855,505.899176
854.573554,498.514102
856.711431,485.649781
858.421732,473.261915
850.511589,460.397594
840.463571,459.682909
834.049942,459.444681
825.712224,457.062399
817.588294,452.059607
810.747090,447.771500
800.912859,441.339339
794.713017,435.383635
787.871813,430.619071
780.389246,424.186911
773.761829,420.375260
767.348200,417.040065
763.776306,414.484656
759.609647,409.716171
755.893437,407.582902
755.217763,406.579010
753.415964,402.312471
747.560119,389.010907
748.235793,382.109153
749.249305,375.207398
748.156127,368.192484
749.248942,361.947957
750.803136,360.514072
751.119501,354.168486
751.119501,354.168486
757.383531,351.740377
763.289015,349.233478
772.287847,346.726580
781.286679,344.846406
793.097647,344.846406
800.409198,342.966233
807.439535,340.772697
817.000795,336.072262
821.781424,331.371828
825.718413,326.984756
